year,licitacao_id,modalidade,numero,codigo,objeto,situacao
2023,20373,PRD DISPENSA EXCETO PEQUENO VALOR,30/2023,113,"Termo de colaboração entre o Município de São Borja e o Asilo São Vicente de Paula, a fim de executar o Projeto ""Assistência ao Idoso.""",Homologada
2023,20374,PRD DISPENSA EXCETO PEQUENO VALOR,31/2023,114,"Termo de colaboração entre o Município de São Borja e a Associação dos Pais e Amigos dos Excepcionais - APAE, a fim de executar o projeto ""Saúde de Qualidade.""",Homologada
2023,20419,INEXIGIBILIDADE,31/2023,158,Contratação da Fundação Ivan Goulart para realização de mutirão de exames de tomografia e ressonância a serem realizados no período de 90 dias. A fim de atender a demanda de pacientes que aguardam por estes exames para tratamento de doenças e para realização de cirurgias. Melhores descritos no Termo de Referência e demais documentos que integram o processo de Inexigibilidade.,Homologada
2023,20357,PREGÃO ELETRONICO,31/2023,102,"Registro de preços para contratação de empresa para serviços de arbitragem de jogos oficiais para a realização do Campeonato de Futebol Amador de São Borja, Jogos da Primavera/Jogos de Verão e demais eventos esportivos.",Homologada
2023,20386,PRD DISPENSA EXCETO PEQUENO VALOR,32/2023,126,"Termo de colaboração, com dispensa de Chamamento Público, firmado entre a Associação dos Colaboradores de Proteção de animais de São Borja e o Munícipio de São Borja; com base legal no inciso VI, do art. 30, da lei 13.019/2014.",Homologada
2023,20359,PREGÃO ELETRONICO,32/2023,104,Registro de preços para aquisição de equipamentos de proteção individual  EPIs e uniformes de serviço.,Homologada
2023,20427,INEXIGIBILIDADE,32/2023,166,"Contratação de empresa especializada para manutenção da VTR 247  Motoniveladora XCMG, modelo GR 180 BR, ano 2014, com fornecimento de peças e prestação de serviços técnicos, a fim de restabelecer as condições de funcionalidade do referido equipamento, conforme laudo técnico nº 531/2023.",Homologada
2023,20389,PRD DISPENSA EXCETO PEQUENO VALOR,33/2023,129,"Contratação direta do Serviço Social do Comércio - SESC/RS, para apresentação de Show musical por Os Chacreiros no evento Dias de Campo, que ocorrerá no dia 04/08/2023, no horário das 22h às 23h em São Borja.",Homologada
2023,20465,INEXIGIBILIDADE,33/2023,172,"Contratação direta do Serviço Social do Comércio/SESC-RS, em mútua colaboração para apresentações artísticas e literárias na 36º edição da Feira do livro de São Borja. As apresentações ocorrerão no período de 09/11/2023 a 11/11/2023 em formato presencial.",Homologada
2023,20372,PREGÃO ELETRONICO,33/2023,112,Aquisição de veículo destinado ao transporte das crianças e adolescentes residentes na Casa de Acolhida.,Homologada
