regime,position_date,page,cnae,count
SIMEI,12/09/2026,2,4753900,14
SIMEI,12/09/2026,2,4754701,2
SIMEI,12/09/2026,2,4754702,1
SIMEI,12/09/2026,2,4755501,2
SIMEI,12/09/2026,2,4755502,18
SIMEI,12/09/2026,2,4755503,34
SIMEI,12/09/2026,2,4756300,3
SIMEI,12/09/2026,2,4757100,8
SIMEI,12/09/2026,2,4759801,1
SIMEI,12/09/2026,2,4759899,6
SIMEI,12/09/2026,2,4761001,1
SIMEI,12/09/2026,2,4761002,3
SIMEI,12/09/2026,2,4761003,4
SIMEI,12/09/2026,2,4763601,5
SIMEI,12/09/2026,2,4763602,2
SIMEI,12/09/2026,2,4763603,3
SIMEI,12/09/2026,2,4772500,61
SIMEI,12/09/2026,2,4773300,4
SIMEI,12/09/2026,2,4774100,1
SIMEI,12/09/2026,2,4781400,323
SIMEI,12/09/2026,2,4782201,4
SIMEI,12/09/2026,2,4783101,11
SIMEI,12/09/2026,2,4783102,1
SIMEI,12/09/2026,2,4785701,3
SIMEI,12/09/2026,2,4785799,11
SIMEI,12/09/2026,2,4789001,31
SIMEI,12/09/2026,2,4789002,6
SIMEI,12/09/2026,2,4789003,1
SIMEI,12/09/2026,2,4789004,21
SIMEI,12/09/2026,2,4789005,10
SIMEI,12/09/2026,2,4789007,4
SIMEI,12/09/2026,2,4789008,2
SIMEI,12/09/2026,2,4789099,33
SIMEI,12/09/2026,2,4923001,6
SIMEI,12/09/2026,2,4923002,99
SIMEI,12/09/2026,2,4924800,7
SIMEI,12/09/2026,2,4929901,8
SIMEI,12/09/2026,2,4929902,2
SIMEI,12/09/2026,2,4930201,103
SIMEI,12/09/2026,2,4930202,203
SIMEI,12/09/2026,2,4930203,1
SIMEI,12/09/2026,2,4930204,9
SIMEI,12/09/2026,2,5099899,1
SIMEI,12/09/2026,2,5211702,1
SIMEI,12/09/2026,2,5212500,9
SIMEI,12/09/2026,2,5223100,3
SIMEI,12/09/2026,2,5320201,19
SIMEI,12/09/2026,2,5320202,60
SIMEI,12/09/2026,2,5590699,6
SIMEI,12/09/2026,2,5611201,26
SIMEI,12/09/2026,2,5611203,107
SIMEI,12/09/2026,2,5611204,31
SIMEI,12/09/2026,2,5611205,15
SIMEI,12/09/2026,2,5612100,59
SIMEI,12/09/2026,2,5620101,15
SIMEI,12/09/2026,2,5620102,13
SIMEI,12/09/2026,2,5620103,2
SIMEI,12/09/2026,2,5620104,110
SIMEI,12/09/2026,2,5811500,1
SIMEI,12/09/2026,2,5812301,3
SIMEI,12/09/2026,2,5812302,2
SIMEI,12/09/2026,2,5813100,5
SIMEI,12/09/2026,2,5819100,13
SIMEI,12/09/2026,2,5912099,15
SIMEI,12/09/2026,2,6190699,3
SIMEI,12/09/2026,2,6399200,1
SIMEI,12/09/2026,2,7319002,147
SIMEI,12/09/2026,2,7319099,10
SIMEI,12/09/2026,2,7420001,20
SIMEI,12/09/2026,2,7420004,3
SIMEI,12/09/2026,2,7490102,1
SIMEI,12/09/2026,2,7721700,12
SIMEI,12/09/2026,2,7722500,2
SIMEI,12/09/2026,2,7723300,2
SIMEI,12/09/2026,2,7729202,2
SIMEI,12/09/2026,2,7731400,5
SIMEI,12/09/2026,2,7739003,3
SIMEI,12/09/2026,2,7911200,4
SIMEI,12/09/2026,2,7990200,1
SIMEI,12/09/2026,2,8020002,2
SIMEI,12/09/2026,2,8129000,6
SIMEI,12/09/2026,2,8130300,43
SIMEI,12/09/2026,2,8219901,1
